Video_Title,Video_Description,Upload_Date,Duration_Minutes,View_Count,Like_Count,Comment_Count,Channel_Subscriber_Count,Actual_Quality_Score
Introduction to SQL Joins,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-05-06,39,266777,7709,2276,251331,50
Getting Started with Docker,"No experience needed. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-04-08,20,56396,3309,238,346321,55
Learn Data Structures in 20 Minutes,Quick tutorial for beginners.,2024-11-27,11,2591231,19896,7530,1163446,11
Git and GitHub for Beginners,"No experience needed. This video walks through building a complete project from scratch, explaining ev",2021-10-14,28,80631,2854,533,143547,40
CSS Flexbox and Grid Tutorial,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2024-01-17,25,56686,3285,530,336712,49
SQL in 15 Minutes — Complete Course,No experience needed.,2021-12-10,18,3775579,58363,7120,854635,23
"React Hooks Explained — useState, useEffect, useContext","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2024-11-24,63,435800,43281,3490,305850,71
Git and GitHub for Beginners,"No experience needed. A deep dive into the internals. We cover theory, implementation, debugging strat",2024-10-20,26,374223,10683,2165,482478,64
C++ Full Course — 45 Minutes Only!,Complete course — no prior knowledge required.,2022-11-03,18,1183388,20444,2813,2871909,19
Python Lists and Dictionaries Tutorial,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2022-04-05,31,58182,2223,528,311817,45
Master Machine Learning FAST,Quick tutorial for beginners.,2024-08-13,11,3966384,32852,9956,2968865,26
FULL JavaScript Course in 1 Hour,No experience needed.,2024-01-18,12,4297709,64524,12763,2547508,20
C++ Full Course — 45 Minutes Only!,No experience needed.,2024-10-27,25,4140594,76427,9768,2040928,24
SQL in 15 Minutes — Complete Course,Complete course — no prior knowledge required.,2023-04-27,23,2406939,21948,1669,1248430,17
Kubernetes from Scratch — Production Setup Guide,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2023-06-11,42,168157,11907,3912,745734,71
C++ Full Course — 45 Minutes Only!,No experience needed.,2021-07-14,21,922322,7473,1429,2499806,32
Learn C++ in 10 Minutes!,Everything in one video!,2021-10-13,17,3671445,65358,10586,1807502,27
Building REST APIs with Flask,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-08-08,24,196228,9174,1645,389679,44
